"id"	"type"	"title"	"state"	"score"	"missing"	"acceptanceCriteria"	"description"	"devNotes"	"qaNotes"	"tags"	"reviewEvidence"
"196703"	"Bug"	"SupplyMobile (MAUI): AdHoc Order > First submitted order does not appear immediately until user re-navigates in Order List after Force Sync"	"Branch Checkin"	"3/4"	"QANotes"	"The first submitted AdHoc Order should appear immediately in the Order List after submission. If not immediate, performing Force Sync on the Order List should be enough to refresh and display the new order. User should not be required to leave and re-enter the Order List screen just to see the new order."	"Issue: First submitted order does not appear immediately until user re-navigates in Order List after Force Sync Environment: PROD/QA Additional Info: Devnotes: ### Change Summary ### What Changed: Update MainViewModel.cs What Was Impacted: Order Transaction What Must Be Tested: Order Transaction ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	"### Change Summary ### What Changed: Update MainViewModel.cs What Was Impacted: Order Transaction What Must Be Tested: Order Transaction"	""	"5.0.6; 5.0.6.1"	"Field"
"196344"	"Bug"	"SupplyMobile (MAUI): Reclaim > After successful Reclaim, Current Quantity value of location briefly appears as Pmax less the Reclaim Quantity "	"Branch Checkin"	"3/4"	"DevNotes"	"Current Quantity should correctly update to Previous Qty - Reclaim Qty immediately after Reclaim confirmation. There should be No intermediate or transient display of incorrect values (e.g., Pmax - Reclaim Qty). Behavior must be consistent across single-location and multi-location products."	"Issue: After successful Reclaim, Current Quantity value of location briefly appears as Pmax less the Reclaim Quantity Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status: ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"103256"	"Product Backlog Item"	"NextGen: Mobile : MFA > Update MFA verification screen verbiage"	"Ready for QA"	"2/4"	"DevNotes, QANotes"	"when requirements are delivered"	"Dev Notes: -Update verification screen verbiage ### Change Summary ### What Changed: Summary Pages for Take and Return What Was Impacted: Summary Pages for Take and Return What Must Be Tested: Summary Pages for Take and Return Scanning a lot of barcodes ### Peer Review ### Buddy Tested by: Winston Gubantes Buddy Test Date: 07-17-2025 Buddy Test Status:"	""	""	"5.0.6; 5.0.6.1; MFA_ph2"	"Field"
"197799"	"Bug"	"SupplyMobile (MAUI): T/R Product Issuance > Select User: Login Allocation Does Not Follow Correct Sequence for TrueOnline Device"	"Branch Checkin"	"3/4"	"QANotes"	"For TrueOnline device, Login allocation should follow the correct and defined sequence when selecting a user. The app should proceed to the correct next allocation based on allocation setup in SSIS > Users > Administration Behavior should be consistent just like TrueOnline = FALSE devices"	"Issue: Login Allocation Does Not Follow Correct Sequence for TrueOnline Device after selecting user Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: Update AllocationCodeViewModel.cs What Was Impacted: Allocation Code List Entry Order What Must Be Tested: Login Allocation Code Product Issuance ### Peer Review ### Buddy Tested by: Winston Gubantes Buddy Test Date: Buddy Test Status:"	"### Change Summary ### What Changed: Update AllocationCodeViewModel.cs What Was Impacted: Allocation Code List Entry Order What Must Be Tested: Login Allocation Code Product Issuance"	""	"5.0.6; 5.0.6.1"	"Field"
"197752"	"Bug"	"SupplyMobile (MAUI): Order > ESL Feature: Searching by ESL Number Does Not Return Matching Product (Mobile phone)"	"In Development"	"2/4"	"DevNotes, QANotes"	"The product associated with the entered ESL number should be returned and displayed User should be able to proceed in transaction screen using ESL-based search."	"Issue: Searching by ESL Number Does Not Return Matching Product (Mobile phone) ) in Order page Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"197817"	"Bug"	"SupplyMobile (MAUI): Take Product Issuance > Select User: Focus disappears after Navigating to Summary Cart"	"In Development"	"2/4"	"DevNotes, QANotes"	"Focus should remain active after navigation to the Summary Cart . User should be able to search for items without additional taps or actions."	"Issue: Focus disappears after Navigating to Take Summary Cart from selecting a User Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"197755"	"Bug"	"SupplyMobile (MAUI): Incorrect Device Auto-Selection on Login When User Area Has Single Handheld device"	"Committed"	"2/4"	"DevNotes, QANotes"	"The app should auto-select the handheld device that belongs to the users assigned area . When only one handheld device exists in the users area, it should be selected automatically. Devices from other areas should not appear during login"	"Issue: Incorrect Device Auto-Selection on Login When User Area Has Single Handheld device Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"191723"	"Bug"	"SupplyMobile (MAUI): Load > Location List Does Not Reappear When Navigating Back from Newly Added Location"	"Branch Checkin"	"2/4"	"DevNotes, QANotes"	"After navigating back, the app should refresh and display the location list"	"Issue: Location List Does Not Reappear When Navigating Back from Newly Added Location in Load Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status: ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"191724"	"Bug"	"SupplyMobile (MAUI): Load > 'Add as new location' button dissappears After Returning from Newly Added Location"	"Branch Checkin"	"2/4"	"DevNotes, QANotes"	"The Add as New Location button should remain visible and functional when navigating back to location screen"	"Issue: 'Add as new location' button dissappears After Returning from Newly Added Location in Load Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status: ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	""	""	"5.0.6; 5.0.6.1"	"Field"
"191751"	"Bug"	"SupplyMobile (MAUI): ESL Feature > Unload: Transaction Screen Reappears After Disconnecting ESL in Unload"	"Branch Checkin"	"2/4"	"DevNotes, QANotes"	"1) Given {precondition/env/build/role} , When {user action} , Then {observable result/status/UI state} . 2) Given {edge/negative case} , When {action/input} , Then {error + no side-effect} . 3) Given {existing/related module/page/query} , When , Then it behaves as before."	"Issue: Transaction Screen Reappears After Disconnecting ESL in Unload Environment: PROD Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status: ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	""	""	"5.0.6; 5.0.6.1"	"Field"
